revision_id,revision_timestamp,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37
7254,25 Aug 2005 20:22,,,,,,,,,,,,,,,"The male latex condom is the single, most efficient, available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. With consistent and correct use of condoms, there is a near zero risk of HIV. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.http://www.wpro.who.int/media_centre/fact_sheets/fs_200308_Condoms.htm",,,,,,,,,,,,,,,,,,,,,,
7216,9 Sep 2005 04:24,,,,,,,,,,,,,,,"The male latex condom is the single, most efficient, available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. With consistent and correct use of condoms, there is a very low risk of HIV. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.http://www.wpro.who.int/media_centre/fact_sheets/fs_200308_Condoms.htm",,,,,,,,,,,,,,,,,,,,,,
7215,9 Sep 2005 04:24,,,,,,,,,,,,,,,"The male latex condom is the single, most efficient, available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.http://www.wpro.who.int/media_centre/fact_sheets/fs_200308_Condoms.htm",,,,,,,,,,,,,,,,,,,,,,
7175,20 Sep 2005 22:43,,,,,,,,"The risk of oral sex has always been controversial. http://www.phac-aspc.gc.ca/publicat/epiu-aepi/epi_update_may_04/13_e.html Most of the early AIDS cases could be attributed to anal sex or vaginal sex. As the use of condoms became more widespread, there were reports of AIDS acquired by oral sex. http://www.aegis.com/pubs/bala/2000/BA000301.html Unprotected oral sex is widely understood to be less risky than unprotected vaginal sex, which in turn is less risky than unprotected anal sex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7146,2 Oct 2005 00:18,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.http://www.wpro.who.int/media_centre/fact_sheets/fs_200308_Condoms.htm",,,,,,,,,,,,,,,,,,,,,,
7047,18 Oct 2005 14:43,,,,,,,,,,,,,,,"The male fuck aids condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.http://www.wpro.who.int/media_centre/fact_sheets/fs_200308_Condoms.htm",,,,,,,,,,,,,,,,,,,,,,
6998,2 Nov 2005 15:51,,,,,,,,,,,,,"The effective use of condoms and screening of blood transfusion in [North America], Western and [Central Europe] is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. The [Vatican] opposes the use of condoms http://news.bbc.co.uk/1/hi/health/3176982.stm and many countries do not screen blood transfusions for HIV antibodies.",,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.http://www.wpro.who.int/media_centre/fact_sheets/fs_200308_Condoms.htm",,,,,,,,,,,,,,,,,,,,,,
6972,8 Nov 2005 19:21,,,,,,,,,,,,,,,,"The male latex condom: In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiry dates. It is essential to check the expiry date and if it conforms to European or American standards before use (EC 600). The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year http://www.wpro.who.int/media_centre/fact_sheets/fs_200308_Condoms.htm.","During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose statute is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. The Vatican opposes the use of condoms.",,,,,,,,,,,,,,,,,,,
6971,8 Nov 2005 19:28,,,,,,,,,,,,,,,,"The male latex condom: In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiry dates. It is essential to check the expiry date and if it conforms to European (EC 600) or American (D3492) standards before use. The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections.",,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose statute is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. The Vatican opposes the use of condoms.","The female condom: This is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.",,,,,,,,,,,,,,,,,,
6970,8 Nov 2005 19:31,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiry dates. It is essential to check the expiry date and if it conforms to European (EC 600) or American (D3492) standards before use.",,,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.",,,,,,,,,,,,,,,,,,
6947,14 Nov 2005 07:05,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.",,,,,,,,,,,,,,,,,,,,,
6855,2 Dec 2005 01:15,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.",,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose statute is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. Some claim this is in part because of the strong influence of the Vatican, which opposes the use of condoms, in these regions.",,,,,,,,,,,,,,,,,,,
6833,2 Dec 2005 17:44,,,,,,,,,,,,,,,,,,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose statute is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. Some claim this is in part because of the strong influence of the Vatican, which opposes the use of condoms.",,,,,,,,,,,,,,,,,,,
6821,5 Dec 2005 14:00,,,,,,,,,,,,,,,,,,"During a sexy act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose statute is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. Some claim this is in part because of the strong influence of the Vatican, which opposes the use of condoms.",,,,,,,,,,,,,,,,,,,
6793,6 Dec 2005 22:47,,,,,,,,,,,,,,,,,,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose statute is unknown (Cayley, 2004). The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. Some claim this is in part because of the strong influence of the Vatican, which opposes the use of condoms.",,,,,,,,,,,,,,,,,,,
6781,7 Dec 2005 17:26,,,,,,,,,,,,,,,,,,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose status is unknown (Cayley, 2004). The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. Some claim this is in part because of the strong influence of the Vatican, which opposes the use of condoms.",,,,,,,,,,,,,,,,,,,
6688,21 Dec 2005 04:10,,,,,,,,,,,,,,,,,,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose status is unknown (Cayley, 2004). The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. Some claim this is in part because of the strong influence of the Roman Catholic Church, which opposes the use of condoms.",,,,,,,,,,,,,,,,,,,
6596,6 Jan 2006 18:01,,,,,,,,,,,,,,,,,,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming fuvkers like to cry beotch stern and Central Europe is credited with the low rates of AIDS in these regions. Adopting these effective prevention methods in other regions has proved controversial and difficult. Some claim this is in part because of the strong influence of the Roman Catholic Church, which opposes the use of condoms.",,,,,,,,,,,,,,,,,,,
6561,11 Jan 2006 21:52,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year http://www.wpro.who.int/media_centre/fact_sheets/fs_200308_Condoms.htm.","During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose status is unknown (Cayley, 2004). The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions.","The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.",,,,,,,,,,,,,,,,,,
6555,12 Jan 2006 09:42,,,,,,,,,,,,,,,,,,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose status is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions.",,,,,,,,,,,,,,,,,,,
6322,9 Feb 2006 17:30,,,,,,,,,,,,,,,,,,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose status is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions.",,,,,,,,,,,,,,,,,,,
6320,9 Feb 2006 19:59,,,,,,,,,,,,,,,,,"With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.",,,,,,,,,,,,,,,,,,,,
6298,11 Feb 2006 23:36,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.","During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose status is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions.","The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.",,,,,,,,,,,,,,,,,
6291,12 Feb 2006 17:31,,,,,,,,,,,,,,,,,,"During a sexual act, only condoms, be they male or female, can reduce the chances of infection with HIV and other STIs and the chances of becoming pregnant. They must be used during all penetrative sexual intercourse with a partner who is HIV positive or whose status is unknown. The effective use of condoms and screening of blood transfusion in North America, Western and Central Europe is credited with the low rates of AIDS in these regions.",,,,,,,,,,,,,,,,,,,
6247,18 Feb 2006 22:58,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year",,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.",,,,,,,,,,,,,,,,,
6204,23 Feb 2006 00:08,,,,,,,,,,,,,,,,,,,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.",,,,,,,,,,,,,,,,,,
6155,28 Feb 2006 23:30,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.",,,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.",,,,,,,,,,,,,,,,,,
6124,4 Mar 2006 00:03,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.",,,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.",,,,,,,,,,,,,,,,,
6123,4 Mar 2006 00:04,,,,,,,,,,,,,,,,,,,"Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality.",,,,,,,,,,,,,,,,,,
6103,7 Mar 2006 19:32,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year",,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.",,,,,,,,,,,,,,,,,
5991,22 Mar 2006 00:19,,,,,,,,,,,,,,,,"The male latex condom is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. In order to be effective, they must be used correctly during each sexual act. Lubricants containing oil, such as petroleum jelly, or butter, must not be used as they weaken latex condoms and make them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Also, condoms have standards and expiration dates. It is essential to check the expiration date and if it conforms to European (EC 600) or American (D3492) standards before use.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year",,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.","The prevention of HIV/AIDS is broadly divided into two areas. Risk avoidance which seeks to completely eradicate the risk of infection and risk reduction which seeks to reduce the risk of infection. Risk avoidance reffers to elimination of risk by abstaining from sex and only engaging sexual activity with virus free partner in a relationship of mutual fidelity. Risk reduction seek to reduce but not completely eliminate the risk of infection by providing condoms, clean needlees and teaching people condom negotiation skills.",,,,,,,,,,,,,,,,
5913,27 Mar 2006 18:45,,,,,,,,,,,,,,,,"The male latex condom, if used correctly without oil based lubricants, is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. Lubricants containing oil, such as petroleum jelly, or butter, weaken latex condoms making them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Latex degrades over time, making them porous, which is why condoms have expiration dates. Also, condoms have to conform to European (EC 600) or American (D3492) standards.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year",,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups, such as the Scottish Episcopalians, have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.",,,,,,,,,,,,,,,,,
5861,31 Mar 2006 15:00,,,,,,,,,,,,,,,,"The male latex condom, if used correctly without oil based lubricants, is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. Lubricants containing oil, such as petroleum jelly, or butter, weaken latex condoms making them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Latex degrades over time, making them porous, which is why condoms have expiration dates. Also, condoms have to conform to European (EC 600) or American (D3492) standards.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year",,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups, such as the Scottish Episcopalians, have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.",,,,,,,,,,,,,,,,,
5841,3 Apr 2006 16:29,,,,,,,,,,,,,,,,"The male latex condom, if used correctly without oil based lubricants, is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. Lubricants containing oil, such as petroleum jelly, or butter, weaken latex condoms making them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Latex degrades over time, making them porous, which is why condoms have expiration dates. Also, condoms have to conform to European (EC 600) or American (D3492) standards.","With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.",,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina - inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups, such as the Scottish Episcopalians, have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.",,,,,,,,,,,,,,,,,
5836,3 Apr 2006 17:42,,,,,,,,,,,,,,,,,"With consistent and correct use of condoms, there is a very low risk of HIV infection. Studies on couples where one partner is infected show that with consistent condom use, HIV infection rates for the uninfected partner are below 1% per year.",,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom also contains an inner ring which keeps the condom in place inside the vagina—inserting the female condom requires squeezing this ring.",,,,,,,,,,,,,,,,,,
5770,7 Apr 2006 18:52,,,,,,,,,,,,,,,,"The male latex condom, if used correctly without oil based lubricants, is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. Lubricants containing oil, such as petroleum jelly, or butter, weaken latex condoms making them porous. If necessary, lubricants made from water are recommended. However, it is not recommended to use a lubricant for fellatio. Latex degrades over time, making them porous, which is why condoms have expiration dates. In Europe and the United States, condoms have to conform to European (EC 600) or American (D3492) standards to be considered protective against HIV transmission.",,,"The female condom is an alternative to the male condom and is made from polyurethane, which allows it to be used in the presence of oil-based lubricants. They are larger than male condoms and have a stiffened ring-shaped opening, and are designed to be inserted into the vagina. The female condom contains an inner ring which keeps the condom in place inside the vagina—inserting the female condom requires squeezing this ring.","Promoting condom use, however, has often proved controversial and difficult. Many religious groups, most visibly the Roman Catholic Church, have opposed the use of condoms on religious grounds, and have sometimes seen condom promotion as an affront to the promotion of marriage, monogamy and sexual morality. Other religious groups, such as the Scottish Episcopalians, have argued that preventing HIV infection is a moral task in itself and that condoms are therefore acceptable or even praiseworthy from a religious point of view.",,,,,,,,,,,,,,,,,
5768,7 Apr 2006 21:59,,,,,,,,,,,,,,,,"The male latex condom, if used correctly without oil-based lubricants, is the single most efficient available technology to reduce the sexual transmission of HIV and other sexually transmitted infections. Lubricants containing oil, such as petroleum jelly, or butter, weaken latex condoms making them porous. If necessary, water-based lubricants are recommended. However, it is not recommended to use a lubricant for fellatio. Latex degrades over time, making them porous, which is why condoms have expiration dates. In Europe and the United States, condoms have to conform to European (EC 600) or American (D3492) standards to be considered protective against HIV transmission.",,,,,,,,,,,,,,,,,,,,,
